source_id,event_id,source
https://gov.texas.gov/news/post/governor-abbott-amends-renews-fire-weather-conditions-disaster-proclamation-in-september-2026,EID_0428,Governor
https://gov.texas.gov/news/post/governor-abbott-renews-new-world-screwworm-disaster-proclamation-in-september-2026,EID_0429,Governor
https://gov.texas.gov/news/post/governor-abbott-renews-drought-disaster-proclamation-in-august-2026,EID_0430,Governor
https://gov.texas.gov/news/post/governor-abbott-renews-border-security-disaster-proclamation-in-august-2026,EID_0431,Governor
https://gov.texas.gov/news/post/governor-abbott-to-further-amend-renew-severe-storm-disaster-proclamation-in-august-2026,EID_0432,Governor
https://gov.texas.gov/news/post/governor-abbott-amends-renews-flooding-disaster-proclamation-in-august-2026,EID_0433,Governor
https://gov.texas.gov/news/post/governor-abbott-renews-new-world-screwworm-disaster-proclamation-in-august-2026,EID_0434,Governor
https://gov.texas.gov/news/post/governor-abbott-renews-border-security-disaster-proclamation-in-july-2026,EID_0435,Governor
https://gov.texas.gov/news/post/governor-abbott-amends-renews-flooding-disaster-proclamation-in-july-2026,EID_0393,Governor
https://gov.texas.gov/news/post/governor-abbott-issues-severe-storm-disaster-proclamation-in-july-2026,EID_0437,Governor
https://gov.texas.gov/news/post/governor-abbott-amends-renews-fire-weather-conditions-disaster-proclamation-in-july-2026,EID_0438,Governor
https://gov.texas.gov/news/post/governor-abbott-renews-new-world-screwworm-disaster-proclamation-in-july-2026,EID_0439,Governor
https://gov.texas.gov/news/post/governor-abbott-amends-renews-flooding-disaster-proclamation-in-june-2026,EID_0440,Governor
https://gov.texas.gov/news/post/governor-abbott-amends-renews-drought-disaster-proclamation-in-june-2026,EID_0441,Governor
https://gov.texas.gov/news/post/governor-abbott-renews-border-security-disaster-proclamation-in-june-2026,EID_0442,Governor
https://gov.texas.gov/news/post/governor-abbott-issues-severe-storm-disaster-proclamation-in-june-2026,EID_0443,Governor
https://gov.texas.gov/news/post/governor-abbott-amends-renews-fire-weather-conditions-disaster-proclamation-in-june-2026,EID_0444,Governor
https://gov.texas.gov/news/post/governor-abbott-issues-new-world-screwworm-disaster-proclamation-in-june-2026,EID_0445,Governor
https://gov.texas.gov/news/post/governor-abbott-to-further-amend-renew-severe-storm-disaster-proclamation-in-may-2026,EID_0446,Governor
https://gov.texas.gov/news/post/governor-abbott-issues-renews-new-world-screwworm-disaster-proclamation-in-may-2026,EID_0447,Governor
https://gov.texas.gov/news/post/governor-abbott-amends-renews-flooding-disaster-proclamation-in-may-2026,EID_0448,Governor
https://gov.texas.gov/news/post/governor-abbott-amends-renews-drought-disaster-proclamation-in-may-2026,EID_0449,Governor
https://gov.texas.gov/news/post/governor-abbott-amends-renews-fire-weather-conditions-disaster-proclamation-in-may-2026,EID_0450,Governor
https://gov.texas.gov/news/post/governor-abbott-further-amends-renews-severe-storm-disaster-proclamation-in-may-2026,EID_0001,Governor
https://gov.texas.gov/news/post/governor-abbott-amends-renews-severe-storm-disaster-proclamation-in-may-2026,EID_0452,Governor
https://gov.texas.gov/news/post/governor-abbott-issues-severe-storm-disaster-proclamation-in-april-2026,EID_0453,Governor
https://gov.texas.gov/news/post/governor-abbott-renews-border-security-disaster-proclamation-in-april-2026,EID_0454,Governor
https://gov.texas.gov/news/post/governor-abbott-amends-renews-drought-disaster-proclamation-in-april-2026,EID_0455,Governor
https://gov.texas.gov/news/post/governor-abbott-amends-renews-flooding-disaster-proclamation-in-april-2026,EID_0456,Governor
https://gov.texas.gov/news/post/governor-abbott-amends-renews-fire-weather-conditions-disaster-proclamation-in-april-2026,EID_0457,Governor
https://gov.texas.gov/news/post/governor-abbott-amends-renews-drought-disaster-proclamation-in-march-2026,EID_0458,Governor
https://gov.texas.gov/news/post/governor-abbott-amends-renews-flooding-disaster-proclamation-in-march-2026,EID_0459,Governor
https://gov.texas.gov/news/post/governor-abbott-renews-border-security-disaster-proclamation-in-march-2026,EID_0460,Governor
https://gov.texas.gov/news/post/governor-abbott-amends-renews-fire-weather-conditions-disaster-proclamation-in-march-2026,EID_0003,Governor
